,h0,theta0,f_thrust,f_lift,mz,vy,wz,Cd,Cpout,Eta
7772,0.0,-1.8475264989785245,0.3514260419452829,-1.3904487415807814,0.002624839690778686,0.0,3.676969285014986,0.3327898124481845,0.022849088354833003,inf
7773,0.0,-1.840147799248574,0.3451116333842425,-1.3937316203539232,0.002618495379305367,0.0,3.7006645625221046,0.32681025888659326,0.022940750609193292,inf
7774,0.0,-1.832723840728436,0.33879395041697735,-1.3968064973788201,0.002615522568795569,0.0,3.7221564159384823,0.3208276045615316,0.023047784352448693,inf
7775,0.0,-1.82525917358482,0.33246496056791264,-1.3996511906565923,0.0026133738995690902,0.0,3.7415843956241646,0.3148342429620385,0.02314905066893745,inf
7776,0.0,-1.8177575031459394,0.3260674956169418,-1.4023229952466814,0.002611974229788587,0.0,3.7592635091760473,0.3087760375160434,0.023245973979527573,inf
7777,0.0,-1.8102221195481158,0.31953443331057974,-1.4048904382526781,0.002611309749082737,0.0,3.7750928823338525,0.30258942548350354,0.023337918672659178,inf
7778,0.0,-1.802657131616604,0.31289013654615416,-1.4073607640959263,0.002608642588090611,0.0,3.788839651438558,0.2962974777899187,0.023398978395333826,inf
7779,0.0,-1.7950667609423616,0.30612783688915607,-1.4097196720850622,0.0026057337147705442,0.0,3.8005647215989535,0.28989378493291296,0.02344521692764659,inf
7780,0.0,-1.7874548727302082,0.29924620319879813,-1.4119872281845969,0.0026039307380639905,0.0,3.8103388347681677,0.2833770863624982,0.023489248139895266,inf
7781,0.0,-1.779825405603289,0.2923167258467808,-1.4141447277300672,0.0026016241611226646,0.0,3.8181479755730052,0.2768150812943,0.023516538882557572,inf
7782,0.0,-1.7721822808279162,0.28539655549906906,-1.416164026933488,0.002599201335551941,0.0,3.823952522487739,0.2702618896771487,0.023530356305722876,inf
7783,0.0,-1.764529595513338,0.2785100086144868,-1.4180685095497227,0.002595848292025371,0.0,3.827793705734439,0.2637405384606883,0.023523607370398218,inf
