0.188,0.863,0.237,0.988,0.563,0.688
0.813,0.538,0.262,0.0625,0.463,0.512
0.262,0.237,0.162,0.363,0.313,0.663
0.338,0.962,0.338,0.712,0.162,0.313
0.237,0.412,0.813,0.138,0.237,0.463
0.962,0.762,0.412,0.262,0.938,0.0375
0.313,0.0875,0.788,0.663,0.438,0.637
0.162,0.887,0.988,0.0875,0.988,0.387
0.913,0.112,0.962,0.287,0.637,0.138
0.213,0.363,0.587,0.863,0.363,0.988
0.563,0.837,0.762,0.913,0.412,0.962
0.762,0.162,0.938,0.0125,0.0375,0.412
0.613,0.387,0.0375,0.538,0.0875,0.938
0.0625,0.213,0.188,0.738,0.587,0.563
0.587,0.788,0.0875,0.338,0.688,0.913
0.637,0.287,0.138,0.512,0.913,0.237
0.837,0.938,0.712,0.563,0.262,0.287
0.0875,0.913,0.663,0.188,0.112,0.762
0.0375,0.338,0.387,0.387,0.138,0.0875
0.387,0.0125,0.313,0.237,0.738,0.262
0.538,0.438,0.837,0.162,0.863,0.788
0.938,0.488,0.363,0.813,0.387,0.613
0.688,0.813,0.438,0.313,0.188,0.538
0.438,0.613,0.0125,0.688,0.338,0.587
0.988,0.663,0.112,0.788,0.712,0.213
0.788,0.262,0.563,0.887,0.0625,0.887
0.712,0.587,0.0625,0.463,0.287,0.0625
0.0125,0.512,0.613,0.213,0.663,0.112
0.738,0.138,0.213,0.837,0.488,0.363
0.138,0.738,0.287,0.488,0.512,0.188
0.512,0.563,0.863,0.438,0.538,0.338
0.887,0.688,0.688,0.762,0.962,0.863
0.412,0.188,0.913,0.637,0.0125,0.488
0.488,0.712,0.488,0.938,0.762,0.438
0.112,0.988,0.538,0.0375,0.837,0.738
0.863,0.0625,0.463,0.412,0.813,0.712
0.463,0.463,0.887,0.962,0.213,0.162
0.363,0.313,0.637,0.587,0.887,0.837
0.287,0.637,0.512,0.112,0.613,0.813
0.663,0.0375,0.738,0.613,0.788,0.0125
0.46,0.46,0.88,0.96,0.21,0.07
0.46,0.46,0.96,0.96,0.21,0.16
0.46,0.33,0.89,0.96,0.21,0.16
0.23,0.46,0.89,0.96,0.21,0.16
0.46,0.46,0.89,0.96,0.23,0.17
0.46,0.46,0.89,0.96,0.27,0.16
0.46,0.46,0.89,0.96,0.15,0.16
0.46,0.46,0.89,0.96,0.21,0.09
0.46,0.39,0.89,0.96,0.21,0.16
0.46,0.36,0.89,0.96,0.21,0.16
0.46,0.46,0.89,0.93,0.21,0.16
0.43,0.46,0.89,0.96,0.24,0.16
0.46,0.4,0.95,0.96,0.21,0.21
0.46,0.46,0.81,0.96,0.21,0.16
0.46,0.46,0.89,0.96,0.31,0.16
0.46,0.46,0.89,0.96,0.12,0.16
0.18,0.46,0.89,0.3,0.64,0.14
0.91,0.11,0.86,0.96,0.23,0.17
0.21,0.36,0.59,0.86,0.36,0.16
0.23,0.46,0.89,0.96,0.21,0.99
0.79,0.26,0.56,0.89,0.01,0.89
0.41,0.19,0.91,0.64,0.06,0.49
0.09,0.91,0.21,0.84,0.49,0.76
0.74,0.14,0.66,0.19,0.11,0.36
0.96,0.76,0.41,0.31,0.94,0.04
0.69,0.81,0.44,0.26,0.19,0.54
0.81,0.54,0.26,0.96,0.46,0.51
0.46,0.39,0.89,0.06,0.21,0.16
0.16,0.84,0.99,0.09,0.99,0.16
0.46,0.46,0.81,0.96,0.21,0.39
0.46,0.39,0.89,0.96,0.21,0.09
0.39,0.01,0.44,0.31,0.19,0.54
0.01,0.51,0.86,0.44,0.54,0.34
0.51,0.56,0.61,0.21,0.66,0.11
0.96,0.39,0.89,0.96,0.94,0.04
0.46,0.76,0.41,0.31,0.21,0.16
0.43,0.96,0.34,0.71,0.16,0.31
0.09,0.91,0.66,0.19,0.51,0.76
0.14,0.74,0.29,0.49,0.11,0.19
0.64,0.29,0.14,0.96,0.91,0.24
0.46,0.46,0.81,0.51,0.21,0.39
0.46,0.46,0.66,0.19,0.21,0.16
0.74,0.14,0.89,0.93,0.11,0.36
0.64,0.29,0.14,0.51,0.91,0.09
0.99,0.66,0.44,0.26,0.71,0.21
0.69,0.81,0.11,0.79,0.19,0.54
0.06,0.21,0.16,0.36,0.31,0.66
0.26,0.24,0.19,0.74,0.59,0.56
0.21,0.36,0.96,0.96,0.21,0.16
0.46,0.46,0.59,0.86,0.36,0.16
0.06,0.21,0.16,0.36,0.31,0.11
0.01,0.51,0.61,0.21,0.66,0.66
0.46,0.39,0.89,0.96,0.91,0.16
0.64,0.29,0.14,0.51,0.21,0.09
0.24,0.41,0.81,0.96,0.24,0.46
0.46,0.46,0.89,0.14,0.21,0.16
0.49,0.71,0.66,0.19,0.76,0.44
0.74,0.14,0.49,0.94,0.11,0.36
0.74,0.14,0.81,0.96,0.11,0.36
0.46,0.46,0.66,0.19,0.21,0.39
0.46,0.76,0.89,0.96,0.21,0.99
0.23,0.46,0.41,0.31,0.21,0.16
0.69,0.81,0.11,0.51,0.91,0.54
0.64,0.29,0.14,0.79,0.19,0.24
0.46,0.46,0.59,0.19,0.36,0.16
0.09,0.91,0.66,0.86,0.11,0.76
0.39,0.01,0.34,0.71,0.16,0.26
0.43,0.96,0.31,0.24,0.74,0.31
0.64,0.29,0.14,0.51,0.91,0.07
0.46,0.46,0.88,0.96,0.21,0.09
0.46,0.39,0.89,0.96,0.09,0.16
0.61,0.39,0.04,0.54,0.21,0.94
0.91,0.11,0.86,0.51,0.23,0.17
0.06,0.21,0.89,0.96,0.31,0.11
0.46,0.46,0.16,0.36,0.27,0.16
0.64,0.29,0.19,0.74,0.21,0.09
0.06,0.21,0.14,0.51,0.59,0.56
0.39,0.01,0.41,0.31,0.21,0.16
0.23,0.46,0.31,0.24,0.74,0.26
0.06,0.21,0.16,0.96,0.24,0.11
0.36,0.11,0.86,0.96,0.89,0.84
0.91,0.31,0.64,0.59,0.23,0.17
0.51,0.56,0.59,0.86,0.36,0.99
0.21,0.36,0.86,0.44,0.54,0.34
0.74,0.46,0.66,0.19,0.11,0.36
0.46,0.14,0.81,0.96,0.21,0.39
0.06,0.21,0.16,0.71,0.24,0.11
0.43,0.96,0.34,0.96,0.16,0.31
0.69,0.81,0.89,0.93,0.91,0.54
