0.0472,0.15,,,,,,,,,,,,
-0.0155,-0.104,,,,,,,,,,,,
0.263,0.389,,,,,,,,,,,,
0.456,0.435,,,,,,,,,,,,
0.0731,0.221,,,,,,,,,,,,
0.133,0.158,,,,,,,,,,,,
-0.16,-0.113,,,,,,,,,,,,
-0.104,-0.742,,,,,,,,,,,,
0.569,0.377,,,,,,,,,,,,
-0.323,-0.14,,,,,,,,,,,,
0.0399,0.266,,,,,,,,,,,,
-0.0415,-0.114,,,,,,,,,,,,
-0.0648,-1.35,,,,,,,,,,,,
0.0541,0.177,,,,,,,,,,,, 
-0.0942,-0.351,,,,,,,,,,,,
0.0516,0.062,,,,,,,,,,,,
-0.367,-0.14,,,,,,,,,,,,
-0.195,-0.642,,,,,,,,,,,,
0.0119,0.0965,,,,,,,,,,,,
0.218,0.158,,,,,,,,,,,,
1.02,0.185,,,,,,,,,,,,
0.14,0.084,,,,,,,,,,,,
-0.552,-1.88,,,,,,,,,,,,
0.171,0.503,,,,,,,,,,,,
-0.0708,-0.0504,,,,,,,,,,,,
1.45,0.226,,,,,,,,,,,,
-0.751,-0.159,,,,,,,,,,,,
-0.333,-0.321,,,,,,,,,,,,
0.0923,0.46,,,,,,,,,,,,
0.0347,0.0958,,,,,,,,,,,,
0.241,0.151,,,,,,,,,,,,
0.0212,0.0323,,,,,,,,,,,,
-0.543,-1.55,,,,,,,,,,,,
-0.56,-2.15,,,,,,,,,,,,
-0.609,-2.17,,,,,,,,,,,,
-0.547,-2.16,,,,,,,,,,,,
-0.561,-2.14,,,,,,,,,,,,
-0.562,-2.1,,,,,,,,,,,,
-0.608,-2.1,,,,,,,,,,,,
-0.0867,-1.5,,,,,,,,,,,,
-0.592,-1.87,,,,,,,,,,,,
-0.582,-1.84,,,,,,,,,,,,
-0.557,-1.67,,,,,,,,,,,,
-0.0838,-1.46,,,,,,,,,,,,
-0.185,-0.635,,,,,,,,,,,,
-0.57,-1.86,,,,,,,,,,,,
-0.574,-1.89,,,,,,,,,,,,
-0.175,-1.22,,,,,,,,,,,,
-0.554,-1.6,,,,,,,,,,,,
-0.567,-2.03,,,,,,,,,,,,
-0.519,-2.16,,,,,,,,,,,,
-0.546,-2.16,,,,,,,,,,,,
-0.557,-2.07,,,,,,,,,,,,
-0.57,-1.65,,,,,,,,,,,,
-0.556,-2.27,,,,,,,,,,,,
-0.613,-1.98,,,,,,,,,,,,
-0.565,-1.78,,,,,,,,,,,,
-0.577,-2.06,,,,,,,,,,,,
-0.578,-2,,,,,,,,,,,,
-0.569,-1.98,,,,,,,,,,,,
-0.512,-1.48,,,,,,,,,,,,
-0.553,-2.23,,,,,,,,,,,,
-0.557,-1.73,,,,,,,,,,,,
-0.567,-2.7,,,,,,,,,,,,
0.0738,0.309,,,,,,,,,,,,
0.157,0.457,,,,,,,,,,,,
0.0918,0.342,,,,,,,,,,,,
0.0978,0.292,,,,,,,,,,,,
0.0937,0.246,,,,,,,,,,,,
0.171,0.554,,,,,,,,,,,,
0.148,0.434,,,,,,,,,,,,
0.0945,0.315,,,,,,,,,,,,
0.237,0.669,,,,,,,,,,,,
0.309,0.819,,,,,,,,,,,,
0.128,0.422,,,,,,,,,,,,
0.149,0.451,,,,,,,,,,,,
0.224,0.407,,,,,,,,,,,,
0.0868,0.261,,,,,,,,,,,,
0.0604,0.266,,,,,,,,,,,,
0.0796,0.262,,,,,,,,,,,,
-0.515,-2.11,,,,,,,,,,,,
-0.629,-2.26,,,,,,,,,,,,
-0.571,-1.91,,,,,,,,,,,,
-0.451,-2.02,,,,,,,,,,,,
-0.585,-1.8,,,,,,,,,,,,
