,h0,theta0,f_thrust,f_lift,mz,vy,wz,Cd,Cpout,Eta
1731,0.025748669050336483,-0.44519904311204944,0.531515371996188,-1.4706725465204094,-0.013851239046098831,0.22306035683928183,3.69826001798762,0.5135485672420834,-0.9253879459244058,-0.13282014241269927
1732,0.026194306007990987,-0.4377797330733313,0.5434546018950797,-1.478587943208466,-0.013813052524360374,0.22255627952961088,3.7212366278889517,0.5250842155630762,-0.9283071345655193,-0.1327833084133491
1733,0.026638894168454927,-0.43031409660049363,0.5519086392426699,-1.4877151384346456,-0.01377080104339096,0.2220158206359289,3.74469255141828,0.5332524812351688,-0.9317060127523513,-0.1327495565564762
1734,0.027082369290534702,-0.42280096286765817,0.5567429484268667,-1.4980442219594816,-0.013730884433614862,0.22144673296288844,3.7687929441974495,0.5379233763511944,-0.9356638722674153,-0.1327183129859185
1735,0.02752468110030648,-0.41523892482370384,0.5578038468086328,-1.5095750577621758,-0.013702846571087755,0.2208477013000646,3.793620767158723,0.538948413203655,-0.940259958293913,-0.13268887748561672
1736,0.02796576009573496,-0.4076264797990233,0.5549922574424482,-1.5223168780077394,-0.013692507873246652,0.22020005468770687,3.8192242004667505,0.5362318639432744,-0.9454799412695204,-0.1326604414800898
1737,0.028405481319057308,-0.39996202802183684,0.5482980942576602,-1.5363219165986401,-0.013700031089881468,0.2194715145432905,3.845415530049301,0.5297639834386684,-0.9512190367651835,-0.13263221389422214
1738,0.028843646153908123,-0.3922448176788261,0.5378803856683323,-1.5516833081488932,-0.013722587902446744,0.21865382840737835,3.8717354632468033,0.5196984244692219,-0.9574420186145827,-0.132603590084743
1739,0.02928009663268682,-0.3844750861688496,0.5241310053121722,-1.5683727880404477,-0.013752718590187247,0.21778912772704717,3.8979733274297907,0.5064138141749722,-0.9642018493314535,-0.13257415390057462
1740,0.02971480266481631,-0.3766529243691069,0.5076117809351615,-1.5861597766089437,-0.013780505731502656,0.21692175746578032,3.9242496930053243,0.4904529888485033,-0.9714445208487892,-0.13254355139548898
1741,0.030147783662549943,-0.3687780873968283,0.48884388232750653,-1.6047259357942183,-0.013796575384485196,0.21605538108526723,3.9506615023904565,0.4723195011867861,-0.9789217172569802,-0.13251147415669778
1742,0.03057902418915738,-0.3608502783595451,0.46813465219901157,-1.6236439902797124,-0.013793542883522542,0.21515976397354972,3.9772348337202974,0.45231030479942097,-0.9862114886419968,-0.1324777019491851
1743,0.031008422718444142,-0.35286914806194714,0.4456870940629244,-1.6424318516502727,-0.01376923008527492,0.21420087608567567,4.003984091608931,0.4306215410754743,-0.9928946021369005,-0.13244217338174827
1744,0.03143582769350008,-0.34483434199310936,0.42192229976972945,-1.660627719047163,-0.013723748147693941,0.21318153720955874,4.030912021372138,0.40766006770502844,-0.9987314849766273,-0.13240501249634493
1745,0.03186114886728238,-0.3367454999764586,0.39757673553019285,-1.6777817551560852,-0.01365912267925495,0.2121278601281331,4.058045210744821,0.38413745614450373,-1.0036093149772312,-0.13236639760595562
1746,0.032284339134012616,-0.3286021611501301,0.37348079480413165,-1.6936280695513504,-0.013581909814249275,0.21103805116364815,4.085410450128335,0.36085603007822686,-1.0074498325377645,-0.13232647443220483
1747,0.03270530107193697,-0.32040385817594524,0.3502966840987291,-1.7080973625064937,-0.013497740626629957,0.2098906948422817,4.112999260035235,0.33845561145848707,-1.0101881129676686,-0.1322854324654734
1748,0.03312390191338174,-0.31215016410998914,0.3284149213421163,-1.7213118068214226,-0.013411370993682382,0.20868917817686017,4.1408388807316205,0.31731351754277193,-1.011953455740085,-0.1322436140916122
1749,0.03354005778464441,-0.30384050265301876,0.3081021480465485,-1.733568593699692,-0.013329461437090337,0.2074534075754298,4.169015965138079,0.29768737656499616,-1.0130562299773451,-0.13220145256570975
1750,0.03395371554368346,-0.2954741002494368,0.28977092749291716,-1.745097601997187,-0.013254371619756612,0.20618366950420075,4.197534668357886,0.2799758059367369,-1.0136439072049115,-0.1321593568694226
1751,0.03436479246266121,-0.2870503639795872,0.2740333414903152,-1.7559811293305572,-0.01318462808380393,0.20487193045537824,4.226233820763467,0.2647701972764792,-1.013707962473556,-0.13211770395295727
1752,0.034773203265504975,-0.27856916496638295,0.2614101257780533,-1.7661508197292397,-0.013119711702161911,0.20350258232747567,4.254940597894039,0.2525736839025135,-1.013140154880451,-0.13207678852890326
1753,0.035178802791971116,-0.27003060158801107,0.2521422665675504,-1.7755418758061712,-0.013056865557748303,0.20204338726642795,4.283636011848987,0.24361910597360042,-1.0117433359964543,-0.13203690575791804
1754,0.03558137681457069,-0.261434620918987,0.24618839637476897,-1.7842350290224243,-0.012992564143902093,0.20049968432293666,4.312395727528117,0.23786649435003634,-1.0095481262576378,-0.13199844786282752
1755,0.03598080152926286,-0.2527810186778986,0.2432974069566849,-1.7922887829416845,-0.012927918230953277,0.1989204212227511,4.341283640317981,0.23507322899631156,-1.0068129137386843,-0.13196169515484202
1756,0.03637705849946169,-0.24406948635771508,0.24317678161197287,-1.799669069613953,-0.01286593623528632,0.19731985821342182,4.370446603199247,0.23495668114800136,-1.0036257649913471,-0.13192660640042228
1757,0.03677008096211655,-0.2352992322651016,0.24562394280660693,-1.8063490544478915,-0.012810976714661523,0.19566100927307684,4.400126404747878,0.23732112099589303,-0.9998723897863915,-0.1318929021260396
1758,0.037159702536554,-0.22646898073872357,0.25048622787707886,-1.812369325327035,-0.012770896824944068,0.1939241570138965,4.430553510846903,0.24201904632980292,-0.9955838886299607,-0.13186036708730622
1759,0.037545777590172136,-0.217577018221714,0.2574909574750371,-1.8178947924505051,-0.012752582462532674,0.19213922564413968,4.461805296210063,0.2487869951765871,-0.9910556997307864,-0.1318289867654782
1760,0.03792825943913056,-0.20862175955388332,0.26616336217044995,-1.8232806667026553,-0.012759614941924374,0.19034889821003922,4.49364045874627,0.25716624672889166,-0.9866837809036336,-0.13179873482894897
1761,0.03830717318301229,-0.1996024563867289,0.27594203494395164,-1.829031947655321,-0.012793818584139097,0.18858003287094796,4.525782773364559,0.2666143711989342,-0.9828393917626752,-0.13176940584530442
1762,0.03868257957061435,-0.19051862846042508,0.28636780801268213,-1.835540362023854,-0.012853120044993619,0.18685348247853178,4.558145646283817,0.2766877220443281,-0.9797713587481315,-0.1317406802827749
