MDS_Dim1,MDS_Dim2,Output
0.6521119968827257,0.48053512740189674,3.23
0.5757634511809283,0.14549425875833552,21.9
0.40300764122093063,-0.38709305482883566,15.5
0.10007518483579551,0.6407551514525225,24.4
0.5643632475943611,0.4693590763775349,7.57
-0.2828972775701047,0.2266785425674449,34.2
0.11966811129446164,0.9154705905148486,20.9
-0.43230553023447804,0.6852182681023141,26.6
-0.019155858295681956,-0.20716967397365033,23.4
-0.20162266397496137,-0.4284582407167788,12.9
-0.22646999302267865,0.8650763817591469,14.8
0.5647554365173872,-0.08174992988752339,14.0
0.41525334508470424,-0.4598344200035844,23.1
0.7331569841673834,0.05622442704302275,9.03
0.45833651548418247,0.00825816446935754,16.8
-0.05798136256818238,0.46170336279362223,15.8
0.5262567712342491,0.6086322531542688,22.1
0.4464614023859349,0.20952575742102936,28.8
0.5406636578978247,0.3738874601849982,19.5
0.022673556366676107,0.5911209768432301,20.8
0.21958356166700743,-0.17103551105962464,9.4
0.425478148529947,0.3290781577218478,12.7
0.560682417201915,-0.24713752238713538,12.1
0.6233928946529819,-0.4234045420785144,3.1
-0.18896811053947413,0.032780372690133196,14.9
0.6356070113729363,-0.036952691094232826,10.4
0.34543157278553455,0.5458382340116438,26.4
0.3010665491810846,-0.2774745308763084,13.8
0.5394824310391746,0.030171716395290916,22.4
-0.05731291400553155,0.3127869772124648,28.0
-0.18703633204983536,0.17500600233458335,14.1
-0.3293037379715373,0.2195370875740869,34.4
0.03893102681731546,-0.32617945465442433,10.4
0.72101086604668,0.619881374940301,12.0
-0.18637718962923877,0.5802248075816355,22.0
-0.3589880614990352,-0.1791680545200672,18.0
0.009803820915698043,0.10988188396098743,29.2
0.40461745335317456,0.49226574593866784,15.4
-0.33160452482486713,0.3182328671552769,30.0
-0.352529858040066,-0.17786475220643247,18.2
-0.42630033728385563,-0.1773435691179271,19.2
-0.40421110204184846,-0.130487135793007,19.8
-0.3720100999646967,-0.3193415759671794,22.0
-0.3612693499092359,-0.1778386969843256,18.2
